NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
81 Cet b,4.31096,2.28088,0.206,1.74,4.31096
Kepler-1204 b,,0.384289,0,1.03,0.0277215
Kepler-1218 b,,0.161019,0,1.06,0.0101747
Kepler-1043 b,,0.217045,0,0.92,0.0201979
Kepler-1396 b,,0.1432,0,1.18,0.015383
CoRoT-3 b,21.799,0.0573788,0,1.37,21.8549
Kepler-377 b,,0.105463,,,0.00915403
Kepler-648 b,,0.133676,0,1.05,0.0309268
K2-12 b,,0.080381,,1.01,0.0170169
Kepler-910 b,,0.0375152,0,1.26,0.00142986
Kepler-126 d,,0.422434,,,0.0196646
Kepler-91 b,0.758053,0.0726449,0.066,1.31,0.808359
Kepler-1506 b,,0.11193,0,0.95,0.00774372
HAT-P-38 b,0.267451,0.0522992,0.067,0.886,0.267569
Kepler-1602 b,,0.104553,0,1.22,0.00819664
Kepler-18 d,,0.117171,0.000521567,0.972,0.0516
Kepler-1077 b,,0.208178,0,1.02,0.0231879
Kepler-380 b,,0.0487448,,,0.00538981
Kepler-1580 b,,0.328211,0,1.47,0.0156727
HD 32963 b,0.7,3.5161,0.07,1.03,0.7
Kepler-132 d,,0.134468,,,0.011604
Kepler-228 b,,0.0366865,,,0.0125754
mu Ara e,0.543322,0.93961,0.0666,1.147,0.543322
Kepler-97 b,0.0106941,0.036125,0,0.94,0.0106941
WASP-96 b,0.478203,0.0453489,0,1.06,0.48
EPIC 211945201 b,0.0842876,0.14979,0,1.18,0.0843442
Kepler-1229 b,,0.312498,0,0.54,0.00940137
Kepler-518 b,,0.0804858,0,0.96,0.0156727
Kepler-139 b,,0.123078,,,0.0258466
Kepler-952 b,,0.503142,0,1,0.182193
Kepler-375 b,,0.103296,,,0.010538
Kepler-1285 b,,0.125346,0,1.2,0.00266535
HD 136118 b,11.6809,2.33328,0.338,1.191,11.6809
Kepler-182 b,,0.0897811,,,0.0206381
Kepler-1313 b,,0.0466196,0,0.92,0.0129801
HD 6434 b,0.397195,0.142061,0.17,0.79,0.397195
HD 5319 b,1.76545,1.6698,0.02,1.51,1.76545
Kepler-306 e,,0.247015,,,0.0171819
Kepler-1519 b,,0.742026,0,0.94,0.144903
Kepler-253 b,,0.0475233,,,0.0121124
WASP-151 b,0.316639,0.0549549,0,1.077,0.31667
Kepler-259 b,,0.0790333,,,0.0236491
Kepler-1586 b,,0.138326,0,1.45,0.0124263
Kepler-1172 b,,0.167139,0,0.92,0.0304768
Kepler-1501 b,,0.123985,0,1.2,0.0116544
HD 231701 b,1.08667,0.555583,0.1,1.14,1.08667
Kepler-666 b,,0.0538618,0,1.03,0.0185165
PH-2 b,,0.825444,0.41,0.94,0.488198
Kepler-1027 b,,0.0291727,0,0.91,0.00189081
CoRoT-18 b,3.48002,0.0295483,0.04,0.95,3.48652
Kepler-703 b,,0.0570646,0,1.18,0.349418
Kepler-1505 b,,0.187949,0,0.93,0.00225358
Kepler-203 d,,0.0987232,,,0.0102988
HD 75898 b,2.51504,1.18906,0.1,1.28,2.51504
HATS-25 b,0.612201,0.0516466,0,0.994,0.613081
Kepler-776 b,,0.0530392,0,0.83,0.00688654
Kepler-876 b,,0.0543655,0,0.81,0.0101747
Kepler-224 b,,0.0419025,,,0.00915403
Kepler-1459 b,,0.284837,0,0.78,0.00842926
Kepler-710 b,,0.0510655,0,0.94,0.0138656
Kepler-806 b,,0.0786193,0,0.99,0.00468851
Kepler-205 b,,0.038467,,,0.0120453
WASP-114 b,1.75851,0.0285236,0.012,1.289,1.76833
KOI-4427 b,,0.441345,0,0.526,0.0135484
Kepler-612 b,,0.0466887,0,0.98,0.0241903
MOA-2008-BLG-310L b,,,,0.67,0.23
KIC 11442793 g,,0.736177,,1.2,0.217563
GJ 1214 b,0.0203507,0.0143253,0,0.157,0.0203507
Kepler-824 b,,0.0560063,0,1.15,0.0137822
Kepler-1451 b,,0.211879,0,1,0.0337813
Kepler-268 c,,0.373719,,,0.0344212
Kepler-135 c,,0.0994132,,,0.00493175
Kepler-265 c,,0.129538,,,0.0212781
Kepler-1296 b,,0.0771045,0,0.87,0.00206633
Kepler-1480 b,,0.146114,0,0.85,0.0123746
Kepler-620 b,,0.11286,0,1.15,0.0330424
HD 164595 b,0.0507844,0.228139,0.088,0.99,0.0507844
16 Cyg B b,1.63997,1.66027,0.681,0.956,1.63997
HAT-P-25 b,0.566683,0.0465813,0.032,1.01,0.567181
Kepler-341 e,,0.238241,,,0.014692
HD 213240 b,4.53249,1.88529,0.421,1.143,4.53249
Kepler-1577 b,,0.0614878,0,0.78,0.00452953
Kepler-1409 b,,0.0153823,0,0.83,0.00338324
Kepler-1352 b,,0.0308432,0,1.11,0.00189081
Kepler-1249 b,,0.174156,0,1.19,0.0182743
Kepler-1269 b,,0.225667,0,1.1,0.0120821
HAT-P-45 b,0.893809,0.0452185,0.049,1.259,0.892
HD 221585 b,1.61483,2.30768,0.123,1.19,1.61483
Kepler-399 b,,0.115973,,,0.00252018
Kepler-341 c,,0.0783507,,,0.012573
Kepler-925 b,,0.187771,0,0.77,0.017919
Kepler-265 d,,0.240693,,,0.0195472
Kepler-677 b,,0.0686885,0,1,0.0964436
HD 33844 b,1.96,1.59543,0.15,1.78,1.96
HATS-32 b,0.917665,0.040253,0,1.099,0.918842
Kepler-243 c,,0.144324,,,0.014692
Kepler-561 b,,0.290481,0,0.96,0.139169
HD 12661 b,2.3408,0.838172,0.376834,1.136,2.3408
Kepler-467 b,,0.17004,0,1.05,0.0170154
Kepler-1107 b,,0.01281,0,0.86,0.00819664
Kepler-9 c,0.16858,0.22473,0.132575,1,0.168671
HD 74156 c,8.24664,3.8997,0.38,1.238,8.24664
Kepler-165 c,,0.120683,,,0.0167934
Kepler-790 b,,0.105904,0,0.84,0.0162741
Kepler-326 d,,0.0700163,,,0.0057099
WASP-47 c,1.23683,1.36067,0.13,1.026,1.23683
Kepler-31 c,,0.254502,0,1.21,0.0577969
Kepler-82 b,,0.16455,,0.85,0.0517963
Kepler-573 b,,0.153993,0,0.99,0.0235163
Kepler-1288 b,,0.0409325,0,1.2,0.00437411
Kepler-306 c,,0.0732442,,,0.0179955
Kepler-1484 b,,0.186962,0,0.94,0.0156727
Kepler-85 e,,0.168293,,,0.00674351
Kepler-583 b,,0.0668402,0,0.94,0.0172355
Kepler-610 b,,0.0739053,0,1.1,0.0576809
HD 38801 b,10.0105,1.6471,0,1.22,10.0105
Kepler-964 b,,0.108427,0,0.93,0.0157709
HD 132563 B b,1.49247,2.62431,0.22,1.01,1.49247
Kepler-1227 b,,0.401332,0,0.97,0.0173469
Kepler-351 d,,0.513692,0,0.89,0.0225477
HD 219134 d,0.0509923,0.237122,0.138,0.81,0.0509923
Kepler-390 c,,0.108535,,,0.00126334
Kepler-61 b,,0.257458,0,0.635,0.0160339
Kepler-1486 b,,0.28916,0,1.08,0.0176872
Kepler-803 b,,0.271,0,1.05,0.0450611
GJ 1132 c,0.00839448,0.0476476,0,0.181,0.00839448
HD 147873 b,5.01069,0.520622,0.207,1.38,5.01069
GJ 667 C c,0.0130687,0.125003,0.27,0.33,0.0130687
HD 207832 c,0.730294,2.1118,0.27,0.94,0.730294
Kepler-80 b,,0.0645109,,0.72,0.0222358
Kepler-1462 b,,0.318487,0,1,0.0460671
Kepler-886 b,,0.0684849,0,1.1,0.0124263
Kepler-1468 c,,0.046104,0,1.04,0.00485109
Kepler-272 d,,0.0964303,,,0.0169862
WASP-136 b,1.49231,0.0655498,0,1.38,1.49872
